BoroughName,Code,Inner/ Outer London,Year,Crime_per_1000,Job_Density,Population_Density,Median_Income
Merton,E09000024,Outer,2017,66.25525273142034,0.71,5534.257807,29500.0
Newham,E09000025,Inner,2017,98.83205544426792,0.53,9598.437942,22500.0
Redbridge,E09000026,Outer,2017,77.96977165854413,0.49,5386.253144,27400.0
Richmond upon Thames,E09000027,Outer,2017,66.98385760753177,0.84,3448.860618,36600.0
Southwark,E09000028,Inner,2017,106.34648370497426,1.39,11008.75326,29400.0
Sutton,E09000029,Outer,2017,58.93145564647958,0.65,4673.822355,27300.0
Tower Hamlets,E09000030,Inner,2017,100.41023134990547,1.44,15724.16259,30500.0
Waltham Forest,E09000031,Outer,2017,80.73558293161935,0.46,7216.302489,24500.0
Wandsworth,E09000032,Inner,2017,79.53873725100162,0.62,9331.351088,35000.0
Westminster,E09000033,Inner,2017,228.79515614939476,4.86,11637.23334,36100.0
Barking and Dagenham,E09000002,Outer,2018,85.43847198657724,0.47,5892.712927,23900.0
Barnet,E09000003,Outer,2018,71.13227838377631,0.67,4577.022673,28700.0
Bexley,E09000004,Outer,2018,62.468249872999486,0.56,4126.712502,26900.0
Brent,E09000005,Outer,2018,89.25989805823802,0.66,7791.775459,24700.0
Bromley,E09000006,Outer,2018,69.8127327316497,0.61,2216.226991,32000.0
Camden,E09000007,Inner,2018,142.37423655284064,2.55,11594.54677,37300.0
Croydon,E09000008,Outer,2018,78.20677952240759,0.59,4523.463089,27500.0
Ealing,E09000009,Outer,2018,81.09263820470717,0.6,6315.39093,26700.0
Enfield,E09000010,Outer,2018,83.18996023062094,0.62,4177.765256,26300.0
Greenwich,E09000011,Outer,2018,89.5460355823164,0.54,6048.988138,27600.0
Hackney,E09000012,Inner,2018,112.22403634556684,0.78,14790.25829,29400.0
Hammersmith and Fulham,E09000013,Inner,2018,115.68595490355882,1.1,11224.30416,33200.0
Haringey,E09000014,Inner,2018,108.71369878433138,0.47,9604.847724,27100.0
Harrow,E09000015,Outer,2018,58.99306493740431,0.54,5060.545261,27600.0
Havering,E09000016,Outer,2018,71.96197443992685,0.64,2292.049538,27900.0
Hillingdon,E09000017,Outer,2018,89.0793286139272,1.05,2678.67722,27100.0
Hounslow,E09000018,Outer,2018,92.45536612713109,0.92,4970.960689,26400.0
Islington,E09000019,Inner,2018,119.39127113700177,1.52,16037.72747,33400.0
Kensington and Chelsea,E09000020,Inner,2018,133.52081907834852,1.55,13139.29637,40400.0
Kingston upon Thames,E09000021,Outer,2018,67.08950278704317,0.86,4819.520457,32400.0
Lambeth,E09000022,Inner,2018,103.16858068139722,0.71,12485.0266,29900.0
Lewisham,E09000023,Inner,2018,84.1539810005027,0.39,8828.740628,27300.0
Merton,E09000024,Outer,2018,66.00579693535988,0.72,5566.045403,30200.0
Newham,E09000025,Inner,2018,100.04387889425188,0.57,9758.583186,24100.0
Redbridge,E09000026,Outer,2018,75.57451538034063,0.45,5422.109861,28000.0
Richmond upon Thames,E09000027,Outer,2018,64.11124316138383,0.88,3473.787985,36100.0
Southwark,E09000028,Inner,2018,111.69027806219012,1.43,11166.98883,29400.0
Sutton,E09000029,Outer,2018,59.56273085862531,0.59,4729.584461,28200.0
Tower Hamlets,E09000030,Inner,2018,104.54188642604264,1.48,16035.51763,30200.0
Waltham Forest,E09000031,Outer,2018,83.47088782607469,0.45,7305.8202,25500.0
Wandsworth,E09000032,Inner,2018,78.35080147965475,0.6,9467.61588,34500.0
Westminster,E09000033,Inner,2018,258.0874692874693,5.02,11838.56456,39700.0
Barking and Dagenham,E09000002,Outer,2019,90.56679295162388,0.47,5950.456656,25200.0
Barnet,E09000003,Outer,2019,77.71092272400793,0.65,4638.280347,29900.0
Bexley,E09000004,Outer,2019,71.31304743262749,0.59,4174.351461,26900.0
Brent,E09000005,Outer,2019,87.84009861759267,0.64,7880.851682,25600.0
Bromley,E09000006,Outer,2019,75.3831979227741,0.64,2226.610987,32800.0
Camden,E09000007,Inner,2019,155.7806250635943,2.55,11727.13482,35600.0
Croydon,E09000008,Outer,2019,85.03132029413841,0.56,4584.177301,27800.0
Ealing,E09000009,Outer,2019,87.9316965193233,0.63,6376.603326,26400.0
Enfield,E09000010,Outer,2019,88.93307411334983,0.63,4199.823359,27300.0
Greenwich,E09000011,Outer,2019,98.10806145347831,0.54,6119.297204,27400.0
Hackney,E09000012,Inner,2019,118.95958802478836,0.81,15036.20264,29600.0
Hammersmith and Fulham,E09000013,Inner,2019,122.70321107080478,1.14,11347.79895,34100.0
Haringey,E09000014,Inner,2019,109.91820219689524,0.45,9660.965647,27400.0
Harrow,E09000015,Outer,2019,65.76888754968883,0.53,5129.744827,27600.0
Havering,E09000016,Outer,2019,73.70822137596413,0.6,2302.232033,29700.0
Hillingdon,E09000017,Outer,2019,96.39853215470605,1.03,2701.50327,28100.0
Hounslow,E09000018,Outer,2019,94.78955992592566,0.95,5025.89307,27800.0
Islington,E09000019,Inner,2019,125.4030605698107,1.56,16261.33095,35100.0
Kensington and Chelsea,E09000020,Inner,2019,153.57781363101208,1.55,13240.74793,39300.0
Kingston upon Thames,E09000021,Outer,2019,69.94540360358364,0.81,4846.814282,33300.0
Lambeth,E09000022,Inner,2019,104.65701066183868,0.73,12608.26403,31900.0
Lewisham,E09000023,Inner,2019,92.21500062096572,0.4,8934.091251,27900.0
Merton,E09000024,Outer,2019,69.22718719708057,0.68,5593.447588,30300.0
Newham,E09000025,Inner,2019,99.10701866636994,0.53,9930.55216,24300.0
Redbridge,E09000026,Outer,2019,78.50433878254087,0.47,5453.659518,27300.0
Richmond upon Thames,E09000027,Outer,2019,64.74741284385385,0.81,3496.154679,37600.0
Southwark,E09000028,Inner,2019,119.7631320831971,1.37,11339.15272,31400.0
Sutton,E09000029,Outer,2019,67.37859261873646,0.63,4781.765933,29700.0
Tower Hamlets,E09000030,Inner,2019,105.71956403539124,1.48,16363.75732,31100.0
Waltham Forest,E09000031,Outer,2019,84.51892766479762,0.47,7389.617435,26800.0
Wandsworth,E09000032,Inner,2019,80.08137993114941,0.62,9596.847085,37100.0
Westminster,E09000033,Inner,2019,310.62121147649424,5.21,12031.05322,39200.0
Barking and Dagenham,E09000002,Outer,2020,81.19358694308205,0.5,6047.637829,25700.0
Barnet,E09000003,Outer,2020,62.12237319107548,0.64,4693.439921,30700.0
Bexley,E09000004,Outer,2020,56.00658901047182,0.55,4208.768381,28000.0
Brent,E09000005,Outer,2020,78.78075805649507,0.63,7953.551388,26200.0
Bromley,E09000006,Outer,2020,60.75001114760921,0.62,2240.61839,33700.0
Camden,E09000007,Inner,2020,99.73424921518044,2.5,11812.40605,38200.0
Croydon,E09000008,Outer,2020,77.11256345684934,0.56,4627.227515,29400.0
Ealing,E09000009,Outer,2020,75.42153424369806,0.64,6514.313214,28200.0
Enfield,E09000010,Outer,2020,78.71006113827396,0.59,4243.283886,28300.0
Greenwich,E09000011,Outer,2020,80.72391320700525,0.51,6178.789491,30100.0
Hackney,E09000012,Inner,2020,100.23904272370532,0.79,15196.99827,32400.0
Hammersmith and Fulham,E09000013,Inner,2020,91.60501465491475,1.19,11631.13564,35800.0
Haringey,E09000014,Inner,2020,93.06607871573794,0.49,9761.106239,28300.0
Harrow,E09000015,Outer,2020,54.94972220946784,0.53,5179.028711,29500.0
Havering,E09000016,Outer,2020,59.26746362143376,0.59,2330.492019,29800.0
Hillingdon,E09000017,Outer,2020,77.02693729387546,1.03,2733.361211,28100.0
Hounslow,E09000018,Outer,2020,79.81839793499742,0.86,5079.825057,27500.0
Islington,E09000019,Inner,2020,93.29687390611424,1.48,16344.6606,36400.0
Kensington and Chelsea,E09000020,Inner,2020,99.01488861524685,1.44,13262.44041,42100.0
Kingston upon Thames,E09000021,Outer,2020,54.228142375552736,0.79,4903.978339,33500.0
Lambeth,E09000022,Inner,2020,83.70846604999942,0.71,12693.90361,31900.0
Lewisham,E09000023,Inner,2020,82.56973209645157,0.39,9031.902604,30100.0
Merton,E09000024,Outer,2020,59.79083787113581,0.66,5652.079225,30300.0
Newham,E09000025,Inner,2020,84.7086524073585,0.55,10043.31961,24600.0
Redbridge,E09000026,Outer,2020,70.14257167012528,0.44,5534.731502,28900.0
Richmond upon Thames,E09000027,Outer,2020,56.42174773068668,0.79,3513.748418,38900.0
Southwark,E09000028,Inner,2020,90.04511187138576,1.33,11443.75381,33500.0
Sutton,E09000029,Outer,2020,56.43714771151507,0.61,4818.963477,30200.0
Tower Hamlets,E09000030,Inner,2020,89.88760619796794,1.39,16583.51059,32700.0
Waltham Forest,E09000031,Outer,2020,76.45229360328801,0.44,7473.311598,27700.0
Wandsworth,E09000032,Inner,2020,70.65166756328686,0.59,9710.756163,38900.0
Westminster,E09000033,Inner,2020,145.8375804385705,4.9,12099.46675,39900.0
Barking and Dagenham,E09000002,Outer,2021,85.93873450867966,0.5,6134.26727,26800.0
Barnet,E09000003,Outer,2021,66.91143395538265,0.7,4741.014333,32200.0
Bexley,E09000004,Outer,2021,59.26531565730304,0.55,4239.718849,28800.0
Brent,E09000005,Outer,2021,80.58319405837136,0.62,8013.321047,27200.0
Bromley,E09000006,Outer,2021,67.56494022965481,0.6,2261.073329,33800.0
Camden,E09000007,Inner,2021,113.37065827626628,2.72,11902.35847,38900.0
Croydon,E09000008,Outer,2021,81.00659047590722,0.55,4664.093018,29100.0
Ealing,E09000009,Outer,2021,77.15758010197871,0.63,6655.677841,29500.0
Enfield,E09000010,Outer,2021,85.01449651650871,0.58,4288.340315,29500.0
Greenwich,E09000011,Outer,2021,87.76374742654417,0.51,6228.880476,30600.0
Hackney,E09000012,Inner,2021,106.28614869376727,0.92,15330.07595,32800.0
Hammersmith and Fulham,E09000013,Inner,2021,100.59138385863936,1.12,11951.91717,36200.0
Haringey,E09000014,Inner,2021,99.2448426183366,0.49,9842.766094,30000.0
Harrow,E09000015,Outer,2021,56.80041292829925,0.5,5221.356968,30200.0
Havering,E09000016,Outer,2021,65.55484526003083,0.64,2366.98523,29000.0
